Gene	Pvalue	tstats
IGF2-AS	1.7485638408064005e-28	30.021549704643597
AC132217.4	1.5647841305007925e-28	29.70269860784057
IGF2	2.7178552082390733e-28	29.25113038437745
RAPSN	3.715727694254574e-27	28.22106473859547
CDH15	7.005043057113366e-27	27.766094682953018
SGCA	2.2893731577198374e-26	26.990649390812163
UQCRHL	2.1271330520280085e-26	26.534291846530202
MIR503HG	5.300428106676049e-26	26.51938084489618
IGDCC4	4.012503854217419e-26	26.464733896988783
CHRNA1	3.789928603340487e-25	25.41266920893728
FNDC5	6.763624141740839e-25	25.01836236947772
FLNC	7.676119196764289e-25	24.790738434311965
FITM1	1.4674843595968422e-24	24.695436918033707
NCAM1	3.2519625382936726e-25	24.6937512408829
PKNOX2	1.4514114694855663e-24	24.36063360623998
TRO	2.4806304725443302e-24	23.736358039856867
JSRP1	7.609756113895514e-24	23.727962837628716
TNNI1	1.3212865144561767e-23	23.49451340131113
TSHZ3	1.1700365695746145e-23	23.24012986224091
SMARCD3	2.2876874902913805e-23	22.828469161998278
DNM3OS	9.204648400881402e-23	22.48249622213106
CHRND	1.0992988058426113e-22	22.434636554125955
ACTC1	1.2519883952597954e-22	22.320298576174828
MAMSTR	1.1876967510037862e-22	22.320036810796086
STAC3	1.6740893405780725e-22	22.159975508216146
ZIC1	1.0284240056765512e-22	22.147565246624904
VASH2	1.751084979090576e-22	22.056340182514056
NES	1.2924914992944042e-22	22.02717891454951
PITX3	3.1017086555980594e-22	21.92322164543139
DES	1.729410138637318e-22	21.888075273509592
CTD-2545M3.8	4.211828131710578e-22	21.747998802740284
CCDC8	3.352855845562132e-22	21.554041251680097
TNNT1	4.536569281401757e-22	21.500084299297413
RP11-166D19.1	4.1146068782918297e-22	21.42064541554541
CHRNG	8.854442113794192e-22	21.396259786007704
SOX11	6.1898876376484675e-22	21.335577658961704
MYOG	1.1048715578256434e-21	21.284745729901527
NNAT	9.527058568630552e-22	21.28032347683291
ANXA6	3.5398740171080266e-22	21.179358758116255
MEGF10	1.1833956235149599e-21	21.140530709498787
GLIPR2	4.757804517790608e-22	21.09125724299947
MSC	1.2912473460306766e-21	21.066454756312034
EBF3	1.594523999358423e-21	21.03122672824098
FRMPD1	3.6755987034091486e-21	20.669734360972786
PAX7	1.4185717629548713e-20	20.0519105635894
SHD	1.3914421147712155e-20	19.944378046608016
RP11-680F20.12	1.5445020894817075e-20	19.939553020564976
TNNT2	2.169478128759806e-20	19.842076118333456
PITX2	2.0021652107856894e-20	19.821879932692195
RPL21	1.6925269113411786e-20	19.79848812570278
MMP23B	2.059569952181252e-20	19.79312926087742
RBM24	2.2237137481092512e-20	19.788538448786703
TBX1	2.3982440876977393e-20	19.68921411773598
MRLN	4.555712574700127e-20	19.52913225515148
NEB	4.152247179711705e-20	19.52483692644845
CCDC88A	1.8895141276303507e-20	19.46923606310455
NREP	2.1535801920590094e-20	19.441163052725635
RP1-302G2.5	7.660709483749348e-20	19.290236576306334
MYL4	9.156483578876187e-20	19.176350880587375
CLCN5	8.766922522506017e-20	19.14759984407733
GAS1	6.859099368069594e-20	19.14449026082736
FKBP7	6.079388717416893e-20	19.136962160930796
RYR1	9.63879629224973e-20	19.071995925954834
SIX1	9.47426195012501e-20	19.029833970322716
MYOD1	1.5699002047564761e-19	18.974750829016866
KLHL41	1.6586635825317318e-19	18.934443902142387
GNB3	1.3605942547665613e-19	18.928328033595825
TNNI2	1.5888347615887257e-19	18.92272186332016
SNHG1	1.1070016201621344e-19	18.89722764120484
FAM178A	1.6166714834855222e-19	18.87259389903165
RP11-20O24.4	1.6145543334373153e-19	18.870677928518035
JAM3	1.4196432367307018e-19	18.845319624765725
PPFIA4	1.6373761208635665e-19	18.831725839547435
SOX8	1.6494275807149494e-19	18.76971252440339
VGLL2	2.5683736225598665e-19	18.756291317473174
NKAIN4	1.7231450257372155e-19	18.748247634172763
TRIM72	2.5767588729656654e-19	18.732487698281385
MEX3B	2.0911536239678682e-19	18.638552311032488
PKDCC	2.2328048732244287e-19	18.572537760297454
MYO18B	4.928413755388248e-19	18.402759470021845
MEG9	5.456054443140014e-19	18.3941694925879
VAX2	3.547244354235026e-19	18.373240013249525
RPL11	3.3531815284988932e-19	18.36825846554376
RGMA	2.7364137066807695e-19	18.33190802857868
PEG3	5.177416304533116e-19	18.327947457347697
ENO3	6.197577206872688e-19	18.30354000188837
SPEG	4.873504128162276e-19	18.284062146230877
FBXO10	5.617247478553296e-19	18.282360958449264
RP11-161M6.2	5.681274728917859e-19	18.27428015155067
RCOR2	5.943646125593903e-19	18.21808124591798
STK25	6.292409067147245e-19	18.147075413153345
ZNF286A	6.34165020287497e-19	18.065247334604038
RPL23	6.933647819148344e-19	17.990631893780012
RP11-175B9.3	1.1094175877402938e-18	17.95970091468446
SEMA6B	1.2720968581779831e-18	17.918989002738364
TPM2	1.131421366648228e-18	17.882838870643347
PMS1	1.234135105247408e-18	17.776537354291154
EPB41L2	1.3122886982598204e-18	17.740604772561518
KIAA0922	1.2317509620351016e-18	17.69292956386438
NEXN	2.166512268658829e-18	17.659228772596922
CDK8	3.0429970536918594e-18	17.614609975710287
ARMCX1	1.3993739027983404e-18	17.52215712299041
TTYH2	2.2240520796211913e-18	17.50835917739586
RP11-281O15.7	3.195899497228871e-18	17.504258339975646
HIF3A	3.896533059416852e-18	17.489276024817418
RPS2	1.4249164603253375e-18	17.471739748066152
ALPK3	4.016832269002434e-18	17.457421976836574
FGFR4	4.646333713762682e-18	17.433788813441016
RPS15A	3.1663043630364462e-18	17.271313593390676
ZNF711	3.019570699279321e-18	17.260359592011696
RHOBTB3	3.4117185340079553e-18	17.24934859910557
ZNF556	8.600932539399164e-18	17.232721802383093
SRPK3	9.239145090129417e-18	17.182724235600045
MAP4K4	4.058252146895096e-18	17.176647007423608
MDFI	5.781979025917678e-18	17.164853176048158
CD101	1.0150635896070776e-17	17.115903206180203
MEG3	9.77841676587426e-18	17.108925598403175
ZKSCAN7	8.546445170732145e-18	17.060160571411707
GPX7	9.81473946033131e-18	16.998972822373933
ARMCX2	7.077778613586723e-18	16.990109949123582
RPS3A	8.428430222691104e-18	16.972354331643533
RPS7	1.0613245247937763e-17	16.9522511179763
ARHGEF2	6.259387589641404e-18	16.952070989676276
RP11-486G15.2	1.480157970609054e-17	16.945747234578263
TMEM8C	1.9399120885868942e-17	16.917958591032217
IFFO1	1.2470267107124633e-17	16.878305862583446
KCNH2	1.3040684502454711e-17	16.85760212971747
RPL22	1.771328540006892e-17	16.819571672820572
CAPN6	2.2040670346128588e-17	16.81745413504614
TBX15	2.162797864639684e-17	16.803859016098258
RPS24	1.2761370092215504e-17	16.802928167614958
RPL6	1.997450993758439e-17	16.77846800837617
DBN1	1.7574829594068387e-17	16.772749427015217
ZNF423	1.3975445496410278e-17	16.751631399819704
PNN	1.4846024869426114e-17	16.71944422250787
TCEAL7	2.2643468056378837e-17	16.673346074071187
MFAP4	2.243048941789968e-17	16.663921965399553
NCOA1	2.6675980013410585e-17	16.615135125429262
ZCCHC3	2.6331227482796804e-17	16.61219081147822
ZNF519	3.081424081157006e-17	16.604685375540537
SEMA6C	3.1520321549061436e-17	16.596597711217637
ZNF202	3.5609230893891804e-17	16.592724589971127
ATXN7L2	3.346281963773964e-17	16.584321340199462
RP11-119F7.5	3.910635928205685e-17	16.5448328237186
DLK1	4.1519701462753425e-17	16.523829801102092
RP11-693J15.4	5.0482382983661633e-17	16.51259319557663
