Gene	Pvalue	tstats
FEZ1	5.12693225e-316	135.21286142373023
GPM6A	1.250441936850211e-257	125.61014950371099
GFAP	1.5393593473480377e-244	125.23242344493448
GPM6B	1.8796471349686747e-264	119.69218891032325
SOX2	1.8424478126188913e-267	113.47757245666794
C1orf61	4.4006459113206345e-226	112.86756422372419
PMP2	1.4270918586606645e-218	111.26987811423659
PPP2R2B	2.032089060236124e-250	110.48724013721103
NCAM1	1.3903530300561826e-268	108.5288867512291
BAALC	5.444320430603571e-249	108.47862026967778
ATP1B2	7.258556233139339e-226	107.38186468388251
PTPRZ1	1.2715593190468137e-235	104.85796686898438
CTNND2	1.5682687313757482e-225	104.79905793196664
DNER	1.5405978753676156e-227	103.39426768505612
TTYH1	2.6016525793437593e-215	101.28208243043233
TUBB2B	4.339646950417298e-240	97.55381508192757
HEPN1	2.31799764804787e-199	96.38428967551769
SOX2-OT	3.3212811219194216e-202	95.87145189760537
DTNA	6.1964670240230134e-217	95.51019693932443
REEP2	1.25965920506537e-230	95.32304455646779
CACNG7	2.9073556569347366e-200	94.69233001367638
KCNJ10	4.904858278908716e-198	93.7334979873401
SYT11	5.3476960332437917e-216	93.51477707592183
GPRC5B	1.3851689374444389e-227	92.25756551886558
CLIP3	1.3571937567628846e-219	90.4180098342094
SCD5	1.2970014281120095e-205	88.80480318185336
TRIM9	2.106769523821067e-200	88.78087618776614
CERS1	6.967060827115394e-204	88.69564569895273
FAM181B	1.6341412789749321e-190	88.41113849195786
NPAS3	8.73626903692267e-197	87.56361243509818
NRCAM	1.3975625571552046e-215	87.40639501967578
POU3F3	2.4871790243339504e-208	86.68508709334176
LINC00461	2.4883463937439206e-189	86.42007490531975
MT3	6.932772614052531e-189	85.82683796047311
FAM107A	1.2060491208298228e-191	84.04688254585977
GNAO1	3.2239292979892798e-196	83.85105468834122
APBA2	4.405940532466931e-204	83.83988216535113
NOVA1	2.389506201711576e-196	83.37223223908586
NIM1K	6.161127476972296e-188	83.19300174200418
BCAN	8.767796870277946e-183	83.15656447075843
DCLK2	1.55658058344775e-186	82.99406895641027
LRRC4B	1.5784099328392445e-194	82.82734694256418
DPP6	3.848818680655832e-191	82.32932859144114
KIF1A	2.6806016411545185e-207	82.26265383970741
SCHIP1	2.727403713379678e-190	81.3197402036659
ASTN1	3.8323813589722753e-184	81.17444570890702
B3GAT1	8.072166348883821e-192	81.11950262838725
TMEM59L	4.633139804454971e-191	80.83978381760998
NR2F1-AS1	2.9033686000281336e-208	80.20677563449536
FMN2	2.7934430716947453e-182	79.84269058158556
APC2	1.0362245829964952e-179	79.27937900745727
JAM2	1.0134213412120902e-187	79.17303641546269
BEX1	8.69071780878502e-204	78.96891433223647
RFX4	2.186111966887183e-174	78.94975768565712
PHYHIPL	1.4915329048024061e-182	78.87704386139009
FAIM2	1.6697006372915488e-186	78.59017216416525
ANK2	2.5923364635103658e-192	78.43074052633197
S100B	1.7326845875619525e-187	78.19460230781753
HEPACAM	5.1430515297897085e-172	77.37388916939034
SCRG1	2.521106322584095e-172	77.31388673784309
PNMA2	1.1422676341422345e-192	76.96255786066921
JAKMIP2	1.8491365246653047e-184	76.74458757648223
NAT8L	2.2546746716451835e-181	76.54505583215555
GRIK5	2.421785498101699e-199	76.37038796091413
C8orf46	2.1642870439879993e-175	76.35130061440009
TCEAL2	2.197133351856932e-182	76.15727907847183
PCDHGC3	2.6168205649002046e-190	76.12486748908943
NTRK3	3.858600769590266e-180	76.0897648329879
ARNT2	1.1043336176264604e-188	75.75156923525272
NLRP1	1.9945982375504738e-188	75.72930370472103
LSAMP	1.3092483266632282e-181	75.58395224425293
OLIG1	6.345344364724006e-169	75.34915959090111
NTRK2	2.454638063184842e-178	74.76950156895984
MAP6	7.996494761865025e-195	74.74856249481114
QKI	2.1357407553263997e-181	74.64229920928494
MLC1	1.5183017849390712e-172	74.5827636131018
PLEKHB1	3.5964155095006297e-181	74.48053043707469
HABP4	1.1658943350441677e-193	73.85754895642552
DPYSL2	1.1696284828924003e-186	73.2375642778867
MAP1A	1.223000615683911e-176	73.14712274015048
NLGN3	1.3603027763439627e-168	72.99601181363302
MAPK10	2.874268566476755e-188	71.7842493453729
RND2	6.239786890563206e-167	71.65423190561104
GRIA3	5.927416476082671e-165	71.56462890873173
C16orf45	2.214772444942867e-187	71.421624478667
SLC22A17	1.8988828628461148e-185	71.36608302414824
SLC1A3	6.307830151050426e-168	71.2599856790803
LINC01158	8.504243849718832e-172	71.07710474149012
CTNNA2	8.704421081860359e-167	70.9429265499487
FYN	3.1143509520196334e-184	70.91368053895549
AGT	1.5585608673353893e-179	70.85947289907271
TSPAN7	6.347035172178373e-179	70.62725476595514
ADGRL3	6.043460183678098e-167	70.50607349746743
OLIG2	3.347650620628898e-159	70.26256304770361
COLGALT2	9.832442527799166e-167	70.20219109418477
PEA15	4.226858259919727e-169	69.67993944520131
ROM1	5.453946956825587e-163	69.46799622303182
NDRG4	3.16473662142906e-172	68.98121408625101
PLP1	2.1379660695692435e-161	68.85549169565651
SPARCL1	3.074571840182984e-177	68.77495908324728
