Gene	Pvalue	tstats
OTX2	2.361083086854825e-27	22.451623561767946
GPM6A	3.352134304112929e-26	21.237985234695
STMN2	1.5905460272632401e-24	19.86922581544538
AMER2	1.8008676435685415e-24	19.84798560934091
NRXN1	2.0680792118237786e-24	19.731828848019667
CADPS	1.7303945366309814e-23	19.02691902122623
MAB21L1	2.9133659157670935e-23	18.90888277413715
SNORA47	5.511429536042319e-23	18.671993962610173
SYT4	6.607061743155665e-23	18.589987506169884
MYT1L	5.569056513951323e-22	17.874028808331076
CHGB	5.647487415925262e-22	17.770109948175666
LPPR4	7.983804661108503e-22	17.75472306719486
ELAVL2	7.82503068263651e-22	17.74287885764438
ZIC1	1.5504838375363604e-21	17.51621744700764
RNU11	1.6675400438508086e-21	17.471295986675514
SNORA12	2.1262914918017865e-21	17.37896535775029
ZNF536	6.039845155177629e-21	17.089000096487574
CACNA2D1	8.026473228988473e-21	16.962809445824977
KCNB2	3.718897902217399e-20	16.517628200347698
DCX	3.387715376661051e-20	16.510734749437383
RN7SKP80	3.5675512022251734e-20	16.461500113378793
SEZ6L	4.305907498699354e-20	16.417700916636893
ST18	9.593010061109016e-20	16.203918156346322
TUBB2B	9.562787636442893e-20	16.11802372312542
HMP19	1.154464405319113e-19	16.092725436460242
SOGA3	1.7383524674598966e-19	15.978060599396263
SOX11	2.0427083191335772e-19	15.926772115073534
ACTL6B	2.576091011521693e-19	15.878286903456893
ATP1A3	2.3845235413776675e-19	15.877268585350535
SCG3	2.5071738560552452e-19	15.804011598522084
KCNA5	4.463059166622664e-19	15.725797613072329
BARHL1	6.450719332357194e-19	15.624976415550499
DRAXIN	6.8980314281758035e-19	15.592133864120985
NNAT	6.38945208821433e-19	15.591702331559235
GABRB3	6.195956828881506e-19	15.567420065824413
BEX1	6.596716006115736e-19	15.463301700923884
MAP2	1.1430056253292e-18	15.337031740053066
NEUROD1	2.00640664077316e-18	15.268693557979049
PEX5L	2.72407011416785e-18	15.15988782694565
MIR99AHG	2.3801587266002963e-18	15.133598997363775
IGFBPL1	3.9495481575085475e-18	15.04979174802861
LINC00461	8.555523894498335e-18	14.796496327475259
SEZ6	9.339377437018053e-18	14.782839898103752
KLHDC8A	1.1064087929241213e-17	14.718083864943136
CNTN1	1.1540576425364508e-17	14.641125869599636
SNORA8	1.591400634272493e-17	14.625600378138827
SCARNA13	1.6780724990899242e-17	14.613995979270733
ASXL3	1.7288798638015408e-17	14.593656965341507
LHX4	2.8398531169333434e-17	14.471248906188212
CHGA	2.835338546441025e-17	14.39962165650433
NBEA	3.3200182356246346e-17	14.39654057216455
ZDHHC22	3.9610354516474064e-17	14.35369863949779
NEUROD2	4.80567959667974e-17	14.315668530516033
ESRRG	4.9617464186658195e-17	14.29183632953208
RP11-531A24.3	6.175724462736195e-17	14.238984378578424
MAP1B	5.0917905113238553e-17	14.226044483302589
HIST1H4C	6.322313686698905e-17	14.219246471766446
IGSF21	9.357163284922474e-17	14.097826607613504
KIF21B	1.042750914784691e-16	14.068411333709363
RN7SL674P	1.1084032741115011e-16	14.062499788916414
ZNF124	9.430786920281277e-17	14.05520264164636
SV2B	1.429147552071258e-16	13.978700842632007
SNAP25	1.334485838260692e-16	13.950202318527875
SCARNA7	1.9111266046178895e-16	13.88546627686442
OTX2-AS1	2.2163064806319107e-16	13.869253728139762
RUNDC3A	2.3352790720551635e-16	13.806145381380936
RELN	2.7103138865850026e-16	13.792510845465076
CNTNAP5	2.878073211669013e-16	13.786480005959442
ZIC4	3.1632468579588786e-16	13.758195363502953
PTPRO	3.0400332564981086e-16	13.754054978481252
BHLHE22	3.365541408112339e-16	13.742902282492636
SYP	2.958653484507949e-16	13.734542327810889
GDAP1L1	3.1730282695216665e-16	13.7279577180756
GFAP	3.0891716369875453e-16	13.688278441142254
CELF3	4.046828172091837e-16	13.673009366466374
KHDRBS2	5.595066584267955e-16	13.595902188209633
