query_text	PMid	pmcrefcount	title	source	pubdate
embryonal rhabdomyosarcoma AND expression AND AC104451.2[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND AC132217.4[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND ACTA1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND ACTC1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND ACTN2[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND ANKRD10[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND ARFGAP1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND BOD1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND C11orf74[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND C1orf105[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND C1QTNF9B[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CDH15[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CDK8[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CEP41[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CHRNA1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CHRNB1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CHRND[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CHRNG[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CHTF18[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CKM[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CLASRP[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND COCH[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND COL26A1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND COL2A1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND COL9A3[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CORO7[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CRYBB2P1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CSAG1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CSAG3[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CSDC2[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CSNK1G2[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CSTF3[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CTC-575D19.1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CTD-2545M3.8[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CWC27[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND CYTL1[Gene]	NA	NA	NA	NA	NA
