disease	gene	n_hits_per_gene
primitive neuroectodermal tumor of the central nervous system	PTCH1	20
glioma (astrocytoma)	TYR	19
primitive neuroectodermal tumor of the central nervous system	NGF	19
embryonal rhabdomyosarcoma	MYOD1	18
medulloblastoma	GFAP	18
embryonal rhabdomyosarcoma	IGF2	17
embryonal rhabdomyosarcoma	MYOG	17
glioma (astrocytoma)	CD163	17
medulloblastoma	OTX2	17
primitive neuroectodermal tumor of the central nervous system	LARGE	17
glioma (astrocytoma)	DDIT3	14
glioma (astrocytoma)	PAX6	13
