parent_sample	median_of_depth_bin	sensitivity
TH_Eval_014	1	0.6842105263157895
TH_Eval_014	4	0.6842105263157895
TH_Eval_014	8	0.631578947368421
TH_Eval_014	12	0.7368421052631579
TH_Eval_014	16	0.631578947368421
TH_Eval_014	20	0.7894736842105263
TH_Eval_014	24	0.631578947368421
TH_Eval_014	28	0.5789473684210527
TH_Eval_014	32	0.631578947368421
TH_Eval_014	36	0.5789473684210527
TH_Eval_014	40	0.6842105263157895
TH_Eval_014	44	0.631578947368421
TH_Eval_014	48	0.5789473684210527
TH_Eval_015	1	0.8421052631578947
TH_Eval_015	4	0.5789473684210527
TH_Eval_015	8	0.5789473684210527
TH_Eval_015	12	0.5263157894736842
TH_Eval_015	16	0.631578947368421
TH_Eval_015	20	0.47368421052631576
TH_Eval_015	24	0.5263157894736842
TH_Eval_015	28	0.5789473684210527
TH_Eval_015	32	0.5789473684210527
TH_Eval_015	36	0.5789473684210527
TH_Eval_015	40	0.5789473684210527
TH_Eval_015	44	0.5789473684210527
TH_Eval_015	48	0.5789473684210527
TH_Eval_016	1	0.8947368421052632
TH_Eval_016	4	0.7368421052631579
TH_Eval_016	8	0.631578947368421
TH_Eval_016	12	0.631578947368421
TH_Eval_016	16	0.631578947368421
TH_Eval_016	20	0.631578947368421
TH_Eval_016	24	0.6842105263157895
TH_Eval_016	28	0.6842105263157895
TH_Eval_016	32	0.6842105263157895
TH_Eval_016	36	0.6842105263157895
TH_Eval_016	40	0.6842105263157895
TH_Eval_016	44	0.631578947368421
TH_Eval_016	48	0.631578947368421
TH_Eval_018	1	0.631578947368421
TH_Eval_018	4	0.6842105263157895
TH_Eval_018	8	0.7368421052631579
TH_Eval_018	12	0.631578947368421
TH_Eval_018	16	0.6842105263157895
TH_Eval_018	20	0.5789473684210527
TH_Eval_018	24	0.631578947368421
TH_Eval_018	28	0.5789473684210527
TH_Eval_018	32	0.5789473684210527
TH_Eval_018	36	0.6842105263157895
TH_Eval_018	40	0.5789473684210527
TH_Eval_018	44	0.631578947368421
TH_Eval_018	48	0.631578947368421
TH_Eval_019	1	0.6842105263157895
TH_Eval_019	4	0.6842105263157895
TH_Eval_019	8	0.6842105263157895
TH_Eval_019	12	0.631578947368421
TH_Eval_019	16	0.631578947368421
TH_Eval_019	20	0.631578947368421
TH_Eval_019	24	0.631578947368421
TH_Eval_019	28	0.631578947368421
TH_Eval_019	32	0.5789473684210527
TH_Eval_019	36	0.5789473684210527
TH_Eval_019	40	0.5789473684210527
TH_Eval_019	44	0.5789473684210527
TH_Eval_019	48	0.5789473684210527
