parent_sample	median_of_depth_bin	sensitivity
TH_Eval_014	1	0.9193548387096774
TH_Eval_014	4	0.9516129032258065
TH_Eval_014	8	0.9516129032258065
TH_Eval_014	12	0.9354838709677419
TH_Eval_014	16	0.967741935483871
TH_Eval_014	20	0.9516129032258065
TH_Eval_014	24	0.9516129032258065
TH_Eval_014	28	0.967741935483871
TH_Eval_014	32	0.9516129032258065
TH_Eval_014	36	0.9354838709677419
TH_Eval_014	40	0.9516129032258065
TH_Eval_014	44	0.9516129032258065
TH_Eval_014	48	0.9516129032258065
TH_Eval_015	1	0.5
TH_Eval_015	4	1
TH_Eval_015	8	1
TH_Eval_015	12	1
TH_Eval_015	16	1
TH_Eval_015	20	1
TH_Eval_015	24	1
TH_Eval_015	28	1
TH_Eval_015	32	1
TH_Eval_015	36	1
TH_Eval_015	40	1
TH_Eval_015	44	1
TH_Eval_015	48	1
TH_Eval_016	1	0.8765432098765432
TH_Eval_016	4	0.9135802469135802
TH_Eval_016	8	0.8518518518518519
TH_Eval_016	12	0.8765432098765432
TH_Eval_016	16	0.8518518518518519
TH_Eval_016	20	0.8888888888888888
TH_Eval_016	24	0.8518518518518519
TH_Eval_016	28	0.8641975308641975
TH_Eval_016	32	0.8518518518518519
TH_Eval_016	36	0.8641975308641975
TH_Eval_016	40	0.8641975308641975
TH_Eval_016	44	0.8641975308641975
TH_Eval_016	48	0.8641975308641975
