parent_sample	median_of_depth_bin	sensitivity
TH_Eval_014	1	0.8105726872246696
TH_Eval_014	4	0.7092511013215859
TH_Eval_014	8	0.7004405286343612
TH_Eval_014	12	0.7180616740088106
TH_Eval_014	16	0.7312775330396476
TH_Eval_014	20	0.7136563876651982
TH_Eval_014	24	0.6960352422907489
TH_Eval_014	28	0.6916299559471366
TH_Eval_014	32	0.6960352422907489
TH_Eval_014	36	0.6784140969162996
TH_Eval_014	40	0.7136563876651982
TH_Eval_014	44	0.7004405286343612
TH_Eval_014	48	0.6916299559471366
TH_Eval_015	1	0.8188976377952756
TH_Eval_015	4	0.7007874015748031
TH_Eval_015	8	0.6929133858267716
TH_Eval_015	12	0.6535433070866141
TH_Eval_015	16	0.7007874015748031
TH_Eval_015	20	0.6456692913385826
TH_Eval_015	24	0.6614173228346457
TH_Eval_015	28	0.6771653543307087
TH_Eval_015	32	0.6929133858267716
TH_Eval_015	36	0.6850393700787402
TH_Eval_015	40	0.6771653543307087
TH_Eval_015	44	0.6929133858267716
TH_Eval_015	48	0.6929133858267716
TH_Eval_016	1	0.7704918032786885
TH_Eval_016	4	0.7151639344262295
TH_Eval_016	8	0.6536885245901639
TH_Eval_016	12	0.6782786885245902
TH_Eval_016	16	0.6782786885245902
TH_Eval_016	20	0.6598360655737705
TH_Eval_016	24	0.6659836065573771
TH_Eval_016	28	0.6680327868852459
TH_Eval_016	32	0.6659836065573771
TH_Eval_016	36	0.6618852459016393
TH_Eval_016	40	0.6618852459016393
TH_Eval_016	44	0.6659836065573771
TH_Eval_016	48	0.6659836065573771
TH_Eval_018	1	0.8012048192771084
TH_Eval_018	4	0.70783132530120485
TH_Eval_018	8	0.6987951807228916
TH_Eval_018	12	0.6957831325301205
TH_Eval_018	16	0.7228915662650602
TH_Eval_018	20	0.677710843373494
TH_Eval_018	24	0.6957831325301205
TH_Eval_018	28	0.6837349397590361
TH_Eval_018	32	0.6987951807228916
TH_Eval_018	36	0.70783132530120485
TH_Eval_018	40	0.6807228915662651
TH_Eval_018	44	0.6897590361445783
TH_Eval_018	48	0.677710843373494
TH_Eval_019	1	0.7548076923076923
TH_Eval_019	4	0.7307692307692307
TH_Eval_019	8	0.7067307692307693
TH_Eval_019	12	0.6826923076923077
TH_Eval_019	16	0.6778846153846154
TH_Eval_019	20	0.6538461538461539
TH_Eval_019	24	0.6682692307692307
TH_Eval_019	28	0.6875
TH_Eval_019	32	0.6875
TH_Eval_019	36	0.6634615384615384
TH_Eval_019	40	0.6634615384615384
TH_Eval_019	44	0.6682692307692307
TH_Eval_019	48	0.6875
