parent_sample	median_of_depth_bin	sensitivity
TH_Eval_014	1	0.9411764705882353
TH_Eval_014	4	1
TH_Eval_014	8	1
TH_Eval_014	12	1
TH_Eval_014	16	1
TH_Eval_014	20	1
TH_Eval_014	24	1
TH_Eval_014	28	1
TH_Eval_014	32	1
TH_Eval_014	36	1
TH_Eval_014	40	1
TH_Eval_014	44	1
TH_Eval_014	48	1
TH_Eval_015	1	0.88
TH_Eval_015	4	0.92
TH_Eval_015	8	0.96
TH_Eval_015	12	0.92
TH_Eval_015	16	0.92
TH_Eval_015	20	0.92
TH_Eval_015	24	1
TH_Eval_015	28	0.96
TH_Eval_015	32	0.96
TH_Eval_015	36	1
TH_Eval_015	40	0.96
TH_Eval_015	44	0.96
TH_Eval_015	48	0.96
TH_Eval_016	1	0.9642857142857143
TH_Eval_016	4	0.9285714285714286
TH_Eval_016	8	1
TH_Eval_016	12	1
TH_Eval_016	16	0.9285714285714286
TH_Eval_016	20	1
TH_Eval_016	24	0.9642857142857143
TH_Eval_016	28	0.9642857142857143
TH_Eval_016	32	1
TH_Eval_016	36	0.9642857142857143
TH_Eval_016	40	0.9642857142857143
TH_Eval_016	44	0.9642857142857143
TH_Eval_016	48	1
TH_Eval_018	1	0.875
TH_Eval_018	4	1
TH_Eval_018	8	1
TH_Eval_018	12	1
TH_Eval_018	16	1
TH_Eval_018	20	1
TH_Eval_018	24	1
TH_Eval_018	28	1
TH_Eval_018	32	1
TH_Eval_018	36	1
TH_Eval_018	40	1
TH_Eval_018	44	1
TH_Eval_018	48	1
TH_Eval_019	1	0.8235294117647058
TH_Eval_019	4	0.9411764705882353
TH_Eval_019	8	1
TH_Eval_019	12	1
TH_Eval_019	16	0.9411764705882353
TH_Eval_019	20	1
TH_Eval_019	24	1
TH_Eval_019	28	1
TH_Eval_019	32	1
TH_Eval_019	36	1
TH_Eval_019	40	1
TH_Eval_019	44	1
TH_Eval_019	48	1
