parent_sample	median_of_depth_bin	sensitivity
TH_Eval_014	1	1
TH_Eval_014	4	1
TH_Eval_014	8	1
TH_Eval_014	12	1
TH_Eval_014	16	1
TH_Eval_014	20	1
TH_Eval_014	24	1
TH_Eval_014	28	1
TH_Eval_014	32	1
TH_Eval_014	36	1
TH_Eval_014	40	1
TH_Eval_014	44	1
TH_Eval_014	48	1
TH_Eval_015	1	1
TH_Eval_015	4	1
TH_Eval_015	8	1
TH_Eval_015	12	1
TH_Eval_015	16	1
TH_Eval_015	20	1
TH_Eval_015	24	1
TH_Eval_015	28	1
TH_Eval_015	32	1
TH_Eval_015	36	1
TH_Eval_015	40	1
TH_Eval_015	44	1
TH_Eval_015	48	1
TH_Eval_016	1	1
TH_Eval_016	4	1
TH_Eval_016	8	1
TH_Eval_016	12	1
TH_Eval_016	16	1
TH_Eval_016	20	1
TH_Eval_016	24	1
TH_Eval_016	28	1
TH_Eval_016	32	1
TH_Eval_016	36	1
TH_Eval_016	40	1
TH_Eval_016	44	1
TH_Eval_016	48	1
TH_Eval_018	1	1
TH_Eval_018	4	1
TH_Eval_018	8	1
TH_Eval_018	12	1
TH_Eval_018	16	1
TH_Eval_018	20	1
TH_Eval_018	24	1
TH_Eval_018	28	1
TH_Eval_018	32	1
TH_Eval_018	36	1
TH_Eval_018	40	1
TH_Eval_018	44	1
TH_Eval_018	48	1
TH_Eval_019	1	0.5
TH_Eval_019	4	0.5
TH_Eval_019	8	1
TH_Eval_019	12	1
TH_Eval_019	16	1
TH_Eval_019	20	1
TH_Eval_019	24	1
TH_Eval_019	28	0.5
TH_Eval_019	32	1
TH_Eval_019	36	0.5
TH_Eval_019	40	1
TH_Eval_019	44	1
TH_Eval_019	48	1
