parent_sample	sample_id	gene	is_outlier_in_subset	target_MEND_count	up_outlier_occurances	first_appears	gene_is_true_positive_in_parent_sample	hit_type
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	AC006262.5	TRUE	44	11	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	AC066694.1	TRUE	44	9	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ADORA3	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	AGK	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ALOX15	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	AP1S2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	AP5Z1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ATP1A3	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ATP5J2	TRUE	44	12	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ATP6V0B	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ATP6V0D1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ATP6V1E1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ATP6V1F	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	BHMT2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	C8orf22	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	CA14	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	CAPN3	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	CCDC28B	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	CCDC51	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	CD163	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	CHCHD3	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	CNIH3	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	COLGALT2	TRUE	44	12	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	COPRS	TRUE	44	11	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	COQ10A	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	CRYGS	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	CTNS	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	DDIT3	TRUE	44	13	1	TRUE	True positive
