Disease	Eval_ID	gene
embryonal rhabdomyosarcoma	TH_Eval_014	AC104451.2
embryonal rhabdomyosarcoma	TH_Eval_014	AC132217.4
embryonal rhabdomyosarcoma	TH_Eval_014	ACTA1
embryonal rhabdomyosarcoma	TH_Eval_014	ACTC1
embryonal rhabdomyosarcoma	TH_Eval_014	ACTN2
embryonal rhabdomyosarcoma	TH_Eval_014	ANKRD10
embryonal rhabdomyosarcoma	TH_Eval_014	ARFGAP1
embryonal rhabdomyosarcoma	TH_Eval_014	BOD1
embryonal rhabdomyosarcoma	TH_Eval_014	C11orf74
embryonal rhabdomyosarcoma	TH_Eval_014	C1orf105
embryonal rhabdomyosarcoma	TH_Eval_014	C1QTNF9B
embryonal rhabdomyosarcoma	TH_Eval_014	CDH15
embryonal rhabdomyosarcoma	TH_Eval_014	CDK8
embryonal rhabdomyosarcoma	TH_Eval_014	CEP41
embryonal rhabdomyosarcoma	TH_Eval_014	CHRNA1
embryonal rhabdomyosarcoma	TH_Eval_014	CHRNB1
embryonal rhabdomyosarcoma	TH_Eval_014	CHRND
embryonal rhabdomyosarcoma	TH_Eval_014	CHRNG
embryonal rhabdomyosarcoma	TH_Eval_014	CHTF18
embryonal rhabdomyosarcoma	TH_Eval_014	CKM
embryonal rhabdomyosarcoma	TH_Eval_014	CLASRP
embryonal rhabdomyosarcoma	TH_Eval_014	COCH
embryonal rhabdomyosarcoma	TH_Eval_014	COL26A1
embryonal rhabdomyosarcoma	TH_Eval_014	COL2A1
embryonal rhabdomyosarcoma	TH_Eval_014	COL9A3
embryonal rhabdomyosarcoma	TH_Eval_014	CORO7
embryonal rhabdomyosarcoma	TH_Eval_014	CRYBB2P1
embryonal rhabdomyosarcoma	TH_Eval_014	CSAG1
embryonal rhabdomyosarcoma	TH_Eval_014	CSAG3
embryonal rhabdomyosarcoma	TH_Eval_014	CSDC2
embryonal rhabdomyosarcoma	TH_Eval_014	CSNK1G2
embryonal rhabdomyosarcoma	TH_Eval_014	CSTF3
embryonal rhabdomyosarcoma	TH_Eval_014	CTC-575D19.1
embryonal rhabdomyosarcoma	TH_Eval_014	CTD-2545M3.8
embryonal rhabdomyosarcoma	TH_Eval_014	CWC27
embryonal rhabdomyosarcoma	TH_Eval_014	CYTL1
embryonal rhabdomyosarcoma	TH_Eval_014	DCAF15
embryonal rhabdomyosarcoma	TH_Eval_014	DDB1
embryonal rhabdomyosarcoma	TH_Eval_014	DES
embryonal rhabdomyosarcoma	TH_Eval_014	DGAT1
embryonal rhabdomyosarcoma	TH_Eval_014	DLK1
embryonal rhabdomyosarcoma	TH_Eval_014	DMWD
embryonal rhabdomyosarcoma	TH_Eval_014	DNM3OS
embryonal rhabdomyosarcoma	TH_Eval_014	DOK7
embryonal rhabdomyosarcoma	TH_Eval_014	DSCR8
embryonal rhabdomyosarcoma	TH_Eval_014	DUSP2
embryonal rhabdomyosarcoma	TH_Eval_014	ENO3
embryonal rhabdomyosarcoma	TH_Eval_014	EXOSC8
embryonal rhabdomyosarcoma	TH_Eval_014	FAM153B
embryonal rhabdomyosarcoma	TH_Eval_014	FAM178A
embryonal rhabdomyosarcoma	TH_Eval_014	FAR2P1
embryonal rhabdomyosarcoma	TH_Eval_014	FBN2
embryonal rhabdomyosarcoma	TH_Eval_014	FGFR4
embryonal rhabdomyosarcoma	TH_Eval_014	FITM1
embryonal rhabdomyosarcoma	TH_Eval_014	FLNC
embryonal rhabdomyosarcoma	TH_Eval_014	FNDC5
embryonal rhabdomyosarcoma	TH_Eval_014	GPC3
embryonal rhabdomyosarcoma	TH_Eval_014	GTF2F2
embryonal rhabdomyosarcoma	TH_Eval_014	GTF2H2
embryonal rhabdomyosarcoma	TH_Eval_014	HDAC3
embryonal rhabdomyosarcoma	TH_Eval_014	HMGA2
embryonal rhabdomyosarcoma	TH_Eval_014	HMGB1
embryonal rhabdomyosarcoma	TH_Eval_014	HNRNPDL
embryonal rhabdomyosarcoma	TH_Eval_014	HRAS
embryonal rhabdomyosarcoma	TH_Eval_014	IGF2
embryonal rhabdomyosarcoma	TH_Eval_014	IGF2-AS
embryonal rhabdomyosarcoma	TH_Eval_014	IL17B
embryonal rhabdomyosarcoma	TH_Eval_014	INPPL1
embryonal rhabdomyosarcoma	TH_Eval_014	JSRP1
embryonal rhabdomyosarcoma	TH_Eval_014	KIAA0226L
embryonal rhabdomyosarcoma	TH_Eval_014	KLHL41
embryonal rhabdomyosarcoma	TH_Eval_014	KREMEN2
embryonal rhabdomyosarcoma	TH_Eval_014	LAMA2
embryonal rhabdomyosarcoma	TH_Eval_014	LENG8
embryonal rhabdomyosarcoma	TH_Eval_014	LINC00377
embryonal rhabdomyosarcoma	TH_Eval_014	LINC00545
embryonal rhabdomyosarcoma	TH_Eval_014	LOXL2
embryonal rhabdomyosarcoma	TH_Eval_014	LOXL3
embryonal rhabdomyosarcoma	TH_Eval_014	LOXL4
embryonal rhabdomyosarcoma	TH_Eval_014	LRPPRC
embryonal rhabdomyosarcoma	TH_Eval_014	MAGEA12
embryonal rhabdomyosarcoma	TH_Eval_014	MAGEA3
embryonal rhabdomyosarcoma	TH_Eval_014	MAGEA6
embryonal rhabdomyosarcoma	TH_Eval_014	MAMSTR
embryonal rhabdomyosarcoma	TH_Eval_014	MAP2K1
embryonal rhabdomyosarcoma	TH_Eval_014	MAP3K7CL
embryonal rhabdomyosarcoma	TH_Eval_014	MAPK15
embryonal rhabdomyosarcoma	TH_Eval_014	MEG3
embryonal rhabdomyosarcoma	TH_Eval_014	MEST
embryonal rhabdomyosarcoma	TH_Eval_014	MIR503HG
embryonal rhabdomyosarcoma	TH_Eval_014	MMP23B
embryonal rhabdomyosarcoma	TH_Eval_014	MRLN
embryonal rhabdomyosarcoma	TH_Eval_014	MSC
embryonal rhabdomyosarcoma	TH_Eval_014	MSTN
embryonal rhabdomyosarcoma	TH_Eval_014	MUS81
embryonal rhabdomyosarcoma	TH_Eval_014	MYBPH
embryonal rhabdomyosarcoma	TH_Eval_014	MYF6
embryonal rhabdomyosarcoma	TH_Eval_014	MYH3
embryonal rhabdomyosarcoma	TH_Eval_014	MYL4
embryonal rhabdomyosarcoma	TH_Eval_014	MYLPF
embryonal rhabdomyosarcoma	TH_Eval_014	MYOD1
embryonal rhabdomyosarcoma	TH_Eval_014	MYOG
