query_text	PMid	pmcrefcount	title	source	pubdate
embryonal rhabdomyosarcoma AND expression AND DES[Gene]	27413008	2	The RhoE/ROCK/ARHGAP25 signaling pathway controls cell invasion by inhibition of Rac activity.	Mol Biol Cell	2016 Sep 1
embryonal rhabdomyosarcoma AND expression AND DES[Gene]	28120026		[Blast-like tumor tissue in cervical lymph node with expression of placental alkaline phosphatase].	Pathologe	2017 Mar
embryonal rhabdomyosarcoma AND expression AND DLK1[Gene]	28923841	6	A Novel Notch-YAP Circuit Drives Stemness and Tumorigenesis in Embryonal Rhabdomyosarcoma.	Mol Cancer Res	2017 Dec
embryonal rhabdomyosarcoma AND expression AND DLK1[Gene]	24173021	6	The paternally imprinted DLK1-GTL2 locus is differentially methylated in embryonal and alveolar rhabdomyosarcomas.	Int J Oncol	2014 Jan
embryonal rhabdomyosarcoma AND expression AND DLK1[Gene]	22289848	20	A set of imprinted genes required for normal body growth also promotes growth of rhabdomyosarcoma cells.	Pediatr Res	2012 Jan
embryonal rhabdomyosarcoma AND expression AND FGFR4[Gene]	22142829	78	Oncogene mutation profiling of pediatric solid tumors reveals significant subsets of embryonal rhabdomyosarcoma and neuroblastoma with mutated genes in growth signaling pathways.	Clin Cancer Res	2012 Feb 1
embryonal rhabdomyosarcoma AND expression AND FGFR4[Gene]	21412928	38	High-resolution array CGH identifies common mechanisms that drive embryonal rhabdomyosarcoma pathogenesis.	Genes Chromosomes Cancer	2011 Jun
embryonal rhabdomyosarcoma AND expression AND FGFR4[Gene]	28058850	3	Molecular diagnostics in the management of rhabdomyosarcoma.	Expert Rev Mol Diagn	2017 Feb
embryonal rhabdomyosarcoma AND expression AND FGFR4[Gene]	26138366	28	Integrated genetic and epigenetic analysis defines novel molecular subgroups in rhabdomyosarcoma.	Nat Commun	2015 Jul 3
embryonal rhabdomyosarcoma AND expression AND FGFR4[Gene]	22648271	20	FGFR4 blockade exerts distinct antitumorigenic effects in human embryonal versus alveolar rhabdomyosarcoma.	Clin Cancer Res	2012 Jul 15
embryonal rhabdomyosarcoma AND expression AND GPC3[Gene]	25344940	6	Glypican 3 expression in pediatric malignant solid tumors.	Eur J Pediatr Surg	2015 Feb
embryonal rhabdomyosarcoma AND expression AND GPC3[Gene]	21493758	6	Glypican-3 is expressed in rhabdomyosarcomas but not adult spindle cell and pleomorphic sarcomas.	J Clin Pathol	2011 Jul
embryonal rhabdomyosarcoma AND expression AND GPC3[Gene]	30867793		Glypican-3 expression in malignant small round cell tumors.	Oncol Lett	2019 Mar
embryonal rhabdomyosarcoma AND expression AND HMGA2[Gene]	24618610	9	Myogenin, AP2β, NOS-1, and HMGA2 are surrogate markers of fusion status in rhabdomyosarcoma: a report from the soft tissue sarcoma committee of the children's oncology group.	Am J Surg Pathol	2014 May
embryonal rhabdomyosarcoma AND expression AND HMGA2[Gene]	19147825	70	Molecular classification of rhabdomyosarcoma--genotypic and phenotypic determinants of diagnosis: a report from the Children's Oncology Group.	Am J Pathol	2009 Feb
embryonal rhabdomyosarcoma AND expression AND HMGA2[Gene]	18043289	4	Malignant ectomesenchymoma: genetic profile reflects rhabdomyosarcomatous differentiation.	Diagn Mol Pathol	2007 Dec
embryonal rhabdomyosarcoma AND expression AND HMGA2[Gene]	23536553	12	Oncogenic NRAS, required for pathogenesis of embryonic rhabdomyosarcoma, relies upon the HMGA2-IGF2BP2 pathway.	Cancer Res	2013 May 15
embryonal rhabdomyosarcoma AND expression AND HMGA2[Gene]	26125949	1	The Role of Immunohistochemistry in Rhabdomyosarcoma Diagnosis Using Tissue Microarray Technology and a Xenograft Model.	Fetal Pediatr Pathol	2015
embryonal rhabdomyosarcoma AND expression AND HRAS[Gene]	23615277	22	A novel chemical screening strategy in zebrafish identifies common pathways in embryogenesis and rhabdomyosarcoma development.	Development	2013 Jun
embryonal rhabdomyosarcoma AND expression AND HRAS[Gene]	26872011	1	Frequent HRAS Mutations in Malignant Ectomesenchymoma: Overlapping Genetic Abnormalities With Embryonal Rhabdomyosarcoma.	Am J Surg Pathol	2016 Jul
embryonal rhabdomyosarcoma AND expression AND HRAS[Gene]	26572961	1	Paternal uniparental disomy 11p15.5 in the pancreatic nodule of an infant with Costello syndrome: Shared mechanism for hyperinsulinemic hypoglycemia in neonates with Costello and Beckwith-Wiedemann syndrome and somatic loss of heterozygosity in Costello syndrome driving clonal expansion.	Am J Med Genet A	2016 Mar
embryonal rhabdomyosarcoma AND expression AND HRAS[Gene]	10475130		Analysis of p53 and K-ras genes and their proteins in a sarcoma botryoides of the uterine cervix.	Eur J Gynaecol Oncol	1999
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	21915858	8	Induction of a regenerative microenvironment in skeletal muscle is sufficient to induce embryonal rhabdomyosarcoma in p53-deficient mice.	J Pathol	2012 Jan
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	10404060	8	"High frequency of inactivation of the imprinted H19 gene in ""sporadic"" hepatoblastoma."	Int J Cancer	1999 Aug 12
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	24173021	6	The paternally imprinted DLK1-GTL2 locus is differentially methylated in embryonal and alveolar rhabdomyosarcomas.	Int J Oncol	2014 Jan
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	7614476	6	Maintenance of normal imprinting of H19 and IGF2 genes in neuroblastoma.	Cancer Res	1995 Aug 1
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	9680387	5	Murine Stim1 maps to distal chromosome 7 and is not imprinted.	Mamm Genome	1998 Aug
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	8040287	45	Activation of an imprinted allele of the insulin-like growth factor II gene implicated in rhabdomyosarcoma.	J Clin Invest	1994 Jul
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	10534762	35	Genes, chromosomes, and rhabdomyosarcoma.	Genes Chromosomes Cancer	1999 Dec
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	23079386	3	Investigation of PAX3/7-FKHR fusion genes and IGF2 gene expression in rhabdomyosarcoma tumors.	Growth Horm IGF Res	2012 Dec
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	21744995	3	Rhabdomyosarcoma: molecular analysis of Igf2, MyoD1 and Myogenin expression.	Neoplasma	2011
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	10935489	22	Disruption of imprinted genes at chromosome region 11p15.5 in paediatric rhabdomyosarcoma.	Neoplasia	1999 Oct
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	9570364	21	Biallelic expression of the H19 and IGF2 genes in hepatocellular carcinoma.	Cancer Lett	1997 Nov 11
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	7728748	21	Loss of imprinting in hepatoblastoma.	Cancer Res	1995 May 1
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	22289848	20	A set of imprinted genes required for normal body growth also promotes growth of rhabdomyosarcoma cells.	Pediatr Res	2012 Jan
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	18788888	15	Expression of insulin-like growth factor pathway proteins in rhabdomyosarcoma: IGF-2 expression is associated with translocation-negative tumors.	Pediatr Dev Pathol	2009 Mar-Apr
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	12234381	13	Reactivation of a silenced H19 gene in human rhabdomyosarcoma by demethylation of DNA but not by histone hyperacetylation.	Mol Cancer	2002 Jul 11
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	26572961	1	Paternal uniparental disomy 11p15.5 in the pancreatic nodule of an infant with Costello syndrome: Shared mechanism for hyperinsulinemic hypoglycemia in neonates with Costello and Beckwith-Wiedemann syndrome and somatic loss of heterozygosity in Costello syndrome driving clonal expansion.	Am J Med Genet A	2016 Mar
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	7527480	1	On the oncodevelopmental role of human imprinted genes.	Med Hypotheses	1994 Aug
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	27345568		Decreased CDKN1C Expression in Congenital Alveolar Rhabdomyosarcoma Associated with Beckwith-Wiedemann Syndrome.	Indian J Pediatr	2016 Nov
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	26056800		Insulin-like Growth Factor 2 Gene Expression Molecularly Differentiates Pleuropulmonary Blastoma and Embryonal Rhabdomyosarcoma.	J Pediatr Hematol Oncol	2015 Aug
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	10095436		[Evidence of genetic alterations in chromosome 11 in embryonal and alveolar rhabdomyosarcoma].	Verh Dtsch Ges Pathol	1998
embryonal rhabdomyosarcoma AND expression AND MAP2K1[Gene]	1	78	Oncogene mutation profiling of pediatric solid tumors reveals significant subsets of embryonal rhabdomyosarcoma and neuroblastoma with mutated genes in growth signaling pathways.	Clin Cancer Res	2012 Feb 1
embryonal rhabdomyosarcoma AND expression AND MEG3[Gene]	1	6	The paternally imprinted DLK1-GTL2 locus is differentially methylated in embryonal and alveolar rhabdomyosarcomas.	Int J Oncol	2014 Jan
embryonal rhabdomyosarcoma AND expression AND MEST[Gene]	1	20	A set of imprinted genes required for normal body growth also promotes growth of rhabdomyosarcoma cells.	Pediatr Res	2012 Jan
embryonal rhabdomyosarcoma AND expression AND MSC[Gene]	26384300	7	Constitutive activation of MET signaling impairs myogenic differentiation of rhabdomyosarcoma and promotes its development and progression.	Oncotarget	2015 Oct 13
embryonal rhabdomyosarcoma AND expression AND MSC[Gene]	25625846	18	Overexpression of HOX genes is prevalent in Ewing sarcoma and is associated with altered epigenetic regulation of developmental transcription programs.	Epigenetics	2014 Dec
embryonal rhabdomyosarcoma AND expression AND MYF6[Gene]	24272621	18	Transactivating mutation of the MYOD1 gene is a frequent event in adult spindle cell rhabdomyosarcoma.	J Pathol	2014 Feb
embryonal rhabdomyosarcoma AND expression AND MYF6[Gene]	12082533	15	Identification of a novel gene NCRMS on chromosome 12q21 with differential expression between rhabdomyosarcoma subtypes.	Oncogene	2002 May 2
embryonal rhabdomyosarcoma AND expression AND MYF6[Gene]	1764365	12	Expression of members of the myf gene family in human rhabdomyosarcomas.	Br J Cancer	1991 Dec
embryonal rhabdomyosarcoma AND expression AND MYF6[Gene]	15489287	117	Alveolar rhabdomyosarcomas in conditional Pax3:Fkhr mice: cooperativity of Ink4a/ARF and Trp53 loss of function.	Genes Dev	2004 Nov 1
