query_text	PMid	title	source	time_article_has_been_cited	pubdate
embryonal rhabdomyosarcoma AND expression AND AMER1[Gene]	1	Inactivation of the tumor suppressor WTX in a subset of pediatric tumors.	Genes Chromosomes Cancer	2	2014 Jan
embryonal rhabdomyosarcoma AND expression AND ATM[Gene]	1	Association of ataxia telangiectasia mutated (ATM) gene mutation/deletion with rhabdomyosarcoma.	Cancer Biol Ther	9	2003 Jan-Feb
embryonal rhabdomyosarcoma AND expression AND ATR[Gene]	1	Genes, chromosomes, and rhabdomyosarcoma.	Genes Chromosomes Cancer	35	1999 Dec
embryonal rhabdomyosarcoma AND expression AND BAX[Gene]	29719592	EGR1 interacts with TBX2 and functions as a tumor suppressor in rhabdomyosarcoma.	Oncotarget	4	2018 Apr 6
embryonal rhabdomyosarcoma AND expression AND BAX[Gene]	25939344	Therapeutic Effect of Supercritical CO2 Extracts of Curcuma Species with Cancer Drugs in Rhabdomyosarcoma Cell Lines.	Phytother Res	4	2015 Aug
embryonal rhabdomyosarcoma AND expression AND BAX[Gene]	21911456	2-deoxyglucose induces Noxa-dependent apoptosis in alveolar rhabdomyosarcoma.	Cancer Res	34	2011 Nov 1
embryonal rhabdomyosarcoma AND expression AND BAX[Gene]	19707204	MI-63: a novel small-molecule inhibitor targets MDM2 and induces apoptosis in embryonal and alveolar rhabdomyosarcoma cells with wild-type p53.	Br J Cancer	23	2009 Sep 1
embryonal rhabdomyosarcoma AND expression AND BAX[Gene]	12394275	Selective chemosensitization of rhabdomyosarcoma cell lines following wild-type p53 adenoviral transduction.	Anticancer Drugs	2	2002 Sep
embryonal rhabdomyosarcoma AND expression AND BAX[Gene]	25749378	Identification of a novel synthetic lethality of combined inhibition of hedgehog and PI3K signaling in rhabdomyosarcoma.	Oncotarget	18	2015 Apr 20
embryonal rhabdomyosarcoma AND expression AND BAX[Gene]	17234787	Sphingosine-induced apoptosis in rhabdomyosarcoma cell lines is dependent on pre-mitochondrial Bax activation and post-mitochondrial caspases.	Cancer Res	15	2007 Jan 15
embryonal rhabdomyosarcoma AND expression AND BCOR[Gene]	1	Integrated genetic and epigenetic analysis defines novel molecular subgroups in rhabdomyosarcoma.	Nat Commun	28	2015 Jul 3
embryonal rhabdomyosarcoma AND expression AND BRCA1[Gene]	1	TDP1 and PARP1 deficiency are cytotoxic to rhabdomyosarcoma cells.	Mol Cancer Res	7	2013 Oct
embryonal rhabdomyosarcoma AND expression AND BRCA2[Gene]	1	TDP1 and PARP1 deficiency are cytotoxic to rhabdomyosarcoma cells.	Mol Cancer Res	7	2013 Oct
embryonal rhabdomyosarcoma AND expression AND CD274[Gene]	1	PD-1 and PD-L1 expression in bone and soft tissue sarcomas.	Pathology	6	2017 Aug
