query_text	PMid	pmcrefcount	title	source	pubdate
embryonal rhabdomyosarcoma AND CKM[Gene]	1	11	Immunohistochemical study of childhood rhabdomyosarcomas and related neoplasms. Results of an Intergroup Rhabdomyosarcoma study project.	Cancer	1991 Jun 15
embryonal rhabdomyosarcoma AND DES[Gene]	25893277	5	Rhabdomyosarcomas in children with neurofibromatosis type I: A national historical cohort.	Pediatr Blood Cancer	2015 Oct
embryonal rhabdomyosarcoma AND DES[Gene]	29941280	3	Addition of dose-intensified doxorubicin to standard chemotherapy for rhabdomyosarcoma (EpSSG RMS 2005): a multicentre, open-label, randomised controlled, phase 3 trial.	Lancet Oncol	2018 Aug
embryonal rhabdomyosarcoma AND DES[Gene]	27413008	2	The RhoE/ROCK/ARHGAP25 signaling pathway controls cell invasion by inhibition of Rac activity.	Mol Biol Cell	2016 Sep 1
embryonal rhabdomyosarcoma AND DES[Gene]	30587930	1	Efficacy of neoadjuvant platinum-based chemotherapy during the second and third trimester of pregnancy in women with cervical cancer: an updated systematic review and meta-analysis.	Drug Des Devel Ther	2019
embryonal rhabdomyosarcoma AND DES[Gene]	23122662	1	[Paratesticular rhabdomyosarcoma in children: a scrotal emergency].	Arch Pediatr	2012 Dec
embryonal rhabdomyosarcoma AND DES[Gene]	12410104	1	[Embryonal botryoid rhabdomyosarcoma of the bladder].	Ann Pathol	2002 Jun
embryonal rhabdomyosarcoma AND DES[Gene]	1316595	1	Conservative surgery plus adjuvant therapy for vulvovaginal rhabdomyosarcoma, diethylstilbestrol clear cell adenocarcinoma of the vagina, and unilateral germ cell tumors of the ovary.	Obstet Gynecol Clin North Am	1992 Mar
embryonal rhabdomyosarcoma AND DES[Gene]	30468401		English Translation of M. Bérard: Tumeur Embryonnaire Du Muscle Strié. [Embryonal Tumor of Striated Muscle]. Lyon Med 1894; 77: 52.	Fetal Pediatr Pathol	2019 Apr
embryonal rhabdomyosarcoma AND DES[Gene]	28457623		"[A persistent ""conjunctivitis"" in a 2-year-old boy]."	Presse Med	2017 Apr
embryonal rhabdomyosarcoma AND DES[Gene]	28302659		Clear cell adenocarcinoma of cervix in 1-year-old girl without in utero exposure to diethylstilbestrol: an uncommon tumour at an uncommon age and site.	BMJ Case Rep	2017 Mar 16
embryonal rhabdomyosarcoma AND DES[Gene]	28120026		[Blast-like tumor tissue in cervical lymph node with expression of placental alkaline phosphatase].	Pathologe	2017 Mar
embryonal rhabdomyosarcoma AND DES[Gene]	18635337		[Localised relapse of orbital embryonal rhabdomyosarcoma].	Presse Med	2008 Oct
embryonal rhabdomyosarcoma AND DES[Gene]	9810459		Parameningeal rhabdomyosarcoma. Report of 19 cases.	Acta Otorhinolaryngol Belg	1998
embryonal rhabdomyosarcoma AND DES[Gene]	1479785		[Neoplastic space-occupying lesions of the orbit. I. Review; hemangioma, lymphangioma and embryonal rhabdomyosarcoma].	Klin Monbl Augenheilkd	1992 Nov
embryonal rhabdomyosarcoma AND DES[Gene]	1892802		Embryonal rhabdomyosarcoma of the common bile duct.	Eur J Pediatr Surg	1991 Jun
embryonal rhabdomyosarcoma AND DLK1[Gene]	28923841	6	A Novel Notch-YAP Circuit Drives Stemness and Tumorigenesis in Embryonal Rhabdomyosarcoma.	Mol Cancer Res	2017 Dec
embryonal rhabdomyosarcoma AND DLK1[Gene]	24173021	6	The paternally imprinted DLK1-GTL2 locus is differentially methylated in embryonal and alveolar rhabdomyosarcomas.	Int J Oncol	2014 Jan
embryonal rhabdomyosarcoma AND DLK1[Gene]	22289848	20	A set of imprinted genes required for normal body growth also promotes growth of rhabdomyosarcoma cells.	Pediatr Res	2012 Jan
