parent_sample	focus_sample	first_degree_neighbor_sample
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-06-0190-02
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-28-5218-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-3U-A98G-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-BH-A6R9-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-D3-A1Q4-06
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-D3-A1Q8-06
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-D3-A8GE-06
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-DX-A3LS-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-DX-A3UA-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-DX-A6BG-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-DX-A8BV-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-DX-AB2L-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-DX-AB2P-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-ER-A19D-06
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-ER-A2NC-06
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-FS-A1ZH-06
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-MB-A8JL-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-QQ-A8VD-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-QQ-A8VG-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-VT-A80J-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-W3-A828-06
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TCGA-Z4-A8JB-01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH03_0027_S03
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH03_0159_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH03_0159_S02
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH03_0296_S03
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH06_0633_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH06_0634_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH06_0646_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH27_1271_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH27_1272_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH27_1272_S02
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH27_1273_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH27_1353_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH27_1354_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	TH27_1404_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR25_0639_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR25_0643_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR29_0748_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR29_0778_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR29_0779_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR30_0852_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR31_0887_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR31_0892_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR31_0893_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR31_0895_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR31_0896_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR31_0915_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR31_0916_S01
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	THR31_1391_S01
TH_Eval_018	TH_Eval_018_est12M_UMEND_seqtk_seed_3263	TCGA-28-5218-01
TH_Eval_018	TH_Eval_018_est12M_UMEND_seqtk_seed_3263	TCGA-3U-A98G-01
TH_Eval_018	TH_Eval_018_est12M_UMEND_seqtk_seed_3263	TCGA-D3-A8GE-06
TH_Eval_018	TH_Eval_018_est12M_UMEND_seqtk_seed_3263	TCGA-DX-A3LS-01
TH_Eval_018	TH_Eval_018_est12M_UMEND_seqtk_seed_3263	TCGA-DX-A3UA-01
TH_Eval_018	TH_Eval_018_est12M_UMEND_seqtk_seed_3263	TCGA-DX-A6BG-01
TH_Eval_018	TH_Eval_018_est12M_UMEND_seqtk_seed_3263	TCGA-DX-A8BV-01
TH_Eval_018	TH_Eval_018_est12M_UMEND_seqtk_seed_3263	TCGA-DX-AB2L-01
TH_Eval_018	TH_Eval_018_est12M_UMEND_seqtk_seed_3263	TCGA-ER-A19D-06
TH_Eval_018	TH_Eval_018_est12M_UMEND_seqtk_seed_3263	TCGA-ER-A2NC-06
