sample_id	target_MEND_count	parent_id	median_of_depth_bin	publication_id
TH_Eval_014_est1M_UMEND_seqtk_seed_2771	1	TH_Eval_014	0	S1
TH_Eval_014_est4M_UMEND_seqtk_seed_5411	4	TH_Eval_014	4	S1
TH_Eval_014_est8M_UMEND_seqtk_seed_2622	8	TH_Eval_014	8	S1
TH_Eval_014_est12M_UMEND_seqtk_seed_9311	12	TH_Eval_014	12	S1
TH_Eval_014_est16M_UMEND_seqtk_seed_6933	16	TH_Eval_014	16	S1
TH_Eval_014_est20M_UMEND_seqtk_seed_2226	20	TH_Eval_014	20	S1
TH_Eval_014_est24M_UMEND_seqtk_seed_1120	24	TH_Eval_014	24	S1
TH_Eval_014_est28M_UMEND_seqtk_seed_6451	28	TH_Eval_014	28	S1
TH_Eval_014_est32M_UMEND_seqtk_seed_3920	32	TH_Eval_014	32	S1
TH_Eval_014_est36M_UMEND_seqtk_seed_7519	36	TH_Eval_014	36	S1
TH_Eval_014_est40M_UMEND_seqtk_seed_4956	40	TH_Eval_014	40	S1
TH_Eval_014_est44M_UMEND_seqtk_seed_7750	44	TH_Eval_014	44	S1
TH_Eval_014_est48M_UMEND_seqtk_seed_9314	48	TH_Eval_014	48	S1
TH_Eval_015_est1M_UMEND_seqtk_seed_7173	1	TH_Eval_015	0	S2
TH_Eval_015_est4M_UMEND_seqtk_seed_2711	4	TH_Eval_015	4	S2
TH_Eval_015_est8M_UMEND_seqtk_seed_1490	8	TH_Eval_015	8	S2
TH_Eval_015_est12M_UMEND_seqtk_seed_3931	12	TH_Eval_015	12	S2
TH_Eval_015_est16M_UMEND_seqtk_seed_3498	16	TH_Eval_015	16	S2
TH_Eval_015_est20M_UMEND_seqtk_seed_3732	20	TH_Eval_015	20	S2
TH_Eval_015_est24M_UMEND_seqtk_seed_4424	24	TH_Eval_015	24	S2
TH_Eval_015_est28M_UMEND_seqtk_seed_5510	28	TH_Eval_015	28	S2
TH_Eval_015_est32M_UMEND_seqtk_seed_4233	32	TH_Eval_015	32	S2
TH_Eval_015_est36M_UMEND_seqtk_seed_1259	36	TH_Eval_015	36	S2
TH_Eval_015_est40M_UMEND_seqtk_seed_8596	40	TH_Eval_015	40	S2
TH_Eval_015_est44M_UMEND_seqtk_seed_6556	44	TH_Eval_015	44	S2
TH_Eval_015_est48M_UMEND_seqtk_seed_7023	48	TH_Eval_015	48	S2
TH_Eval_016_est1M_UMEND_seqtk_seed_7649	1	TH_Eval_016	0	S3
TH_Eval_016_est4M_UMEND_seqtk_seed_8539	4	TH_Eval_016	4	S3
TH_Eval_016_est8M_UMEND_seqtk_seed_7537	8	TH_Eval_016	8	S3
TH_Eval_016_est12M_UMEND_seqtk_seed_5537	12	TH_Eval_016	12	S3
TH_Eval_016_est16M_UMEND_seqtk_seed_0662	16	TH_Eval_016	16	S3
TH_Eval_016_est20M_UMEND_seqtk_seed_7248	20	TH_Eval_016	20	S3
TH_Eval_016_est24M_UMEND_seqtk_seed_6740	24	TH_Eval_016	24	S3
TH_Eval_016_est28M_UMEND_seqtk_seed_4433	28	TH_Eval_016	28	S3
TH_Eval_016_est32M_UMEND_seqtk_seed_8154	32	TH_Eval_016	32	S3
TH_Eval_016_est36M_UMEND_seqtk_seed_4791	36	TH_Eval_016	36	S3
TH_Eval_016_est40M_UMEND_seqtk_seed_2115	40	TH_Eval_016	40	S3
TH_Eval_016_est44M_UMEND_seqtk_seed_0849	44	TH_Eval_016	44	S3
TH_Eval_016_est50M_UMEND_seqtk_seed_3541	48	TH_Eval_016	48	S3
TH_Eval_018_est1M_UMEND_seqtk_seed_5315	1	TH_Eval_018	0	S4
TH_Eval_018_est4M_UMEND_seqtk_seed_4596	4	TH_Eval_018	4	S4
TH_Eval_018_est8M_UMEND_seqtk_seed_2594	8	TH_Eval_018	8	S4
TH_Eval_018_est12M_UMEND_seqtk_seed_3263	12	TH_Eval_018	12	S4
TH_Eval_018_est16M_UMEND_seqtk_seed_2214	16	TH_Eval_018	16	S4
TH_Eval_018_est20M_UMEND_seqtk_seed_7447	20	TH_Eval_018	20	S4
TH_Eval_018_est24M_UMEND_seqtk_seed_0734	24	TH_Eval_018	24	S4
TH_Eval_018_est28M_UMEND_seqtk_seed_8899	28	TH_Eval_018	28	S4
TH_Eval_018_est32M_UMEND_seqtk_seed_3452	32	TH_Eval_018	32	S4
TH_Eval_018_est36M_UMEND_seqtk_seed_8038	36	TH_Eval_018	36	S4
TH_Eval_018_est40M_UMEND_seqtk_seed_3320	40	TH_Eval_018	40	S4
TH_Eval_018_est44M_UMEND_seqtk_seed_3778	44	TH_Eval_018	44	S4
TH_Eval_018_est48M_UMEND_seqtk_seed_4374	48	TH_Eval_018	48	S4
TH_Eval_019_est1M_UMEND_seqtk_seed_8803	1	TH_Eval_019	0	S5
TH_Eval_019_est4M_UMEND_seqtk_seed_7362	4	TH_Eval_019	4	S5
TH_Eval_019_est8M_UMEND_seqtk_seed_4808	8	TH_Eval_019	8	S5
TH_Eval_019_est12M_UMEND_seqtk_seed_3737	12	TH_Eval_019	12	S5
TH_Eval_019_est16M_UMEND_seqtk_seed_7924	16	TH_Eval_019	16	S5
