gene	parent_id	expression_bin	sample_id	expression	target_UMEND_count	median_of_depth_bin	publication_id
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.55581615506	32	32	S1
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	1.57046293103	1	0	S1
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.55090066465	20	20	S1
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.49569516262	4	4	S1
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.516015147	44	44	S1
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.40053792958	28	28	S1
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.33913738492	36	36	S1
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.63691458036	16	16	S1
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.38956681176	12	12	S1
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.464668267	24	24	S1
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.516015147	48	48	S1
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.55581615506	40	40	S1
CTD-2649C14.2	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.40053792958	8	8	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.54596836911	32	32	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	1.01435529298	1	0	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.43829285158	20	20	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.5210507369	4	4	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.50080205306	44	44	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.65076455912	28	28	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.49057013045	36	36	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.43295940728	16	16	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.67355642399	12	12	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.59454854955	24	24	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.516015147	48	48	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.3840498068	40	40	S1
AQP5	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.54596836911	8	8	S1
PTH2R	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.41683974191	32	32	S1
PTH2R	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	1.09761079663	1	0	S1
PTH2R	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.58014548442	20	20	S1
PTH2R	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.75274859141	4	4	S1
PTH2R	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.5210507369	44	44	S1
PTH2R	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.50589092973	28	28	S1
PTH2R	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.57531233069	36	36	S1
PTH2R	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.47508488295	16	16	S1
PTH2R	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.6182386556	12	12	S1
PTH2R	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.49569516262	24	24	S1
PTH2R	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.516015147	48	48	S1
