gene	expression_in_log2tpm1	is_top_5	pc_low	pc_median	pc_high	pc_outlier	pc_is_filtered	pd_low	pd_median	pd_high	pd_outlier	pc_percentile	parent_sample	sample_id
AC006011.4	5.66476725536	NA	0.945155620575	3.49187254906	6.06726789474	NA	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
ACTL6B	5.9825373144	top5	-0.146622136235	0	0.244370207191	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
AGAP1	6.23304440127	top5	0.598078787327	3.1922044754	5.74118375778	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
AP3B2	7.91091250795	top5	-2.67186665535	1.09767889977	5.28099250793	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
ASIC1	6.34358548316	top5	-2.09151291847	1.3277425766	5.02028369904	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
AUTS2	8.16746832566	top5	0.0471358299255	3.73498058319	7.3076300621	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CACNA1G	7.21713375765	top5	-0.652032196522	0.12445962429	1.20081102848	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CAMKV	7.60013592211	top5	-0.446833491325	0.0705247372389	0.783382773399	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CASC3	6.96405201104	top5	3.18113732338	5.09471035004	7.04341316223	NA	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CENPBD1P1	5.89772447022	top5	2.71113872528	4.29572343826	5.84110689163	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CEP95	7.23630126683	top5	2.02138447762	4.22416067123	6.45495510101	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CHN2	7.11332544304	top5	-1.18266952038	2.32339954376	5.87693500519	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CNNM3	5.93002764088	top5	1.63465297222	3.78082442284	5.86731624603	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CNOT10	4.75968848843	NA	2.62191772461	4.20788574219	5.78868198395	NA	NA	NA	NA	NA	NA	82	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CPNE7	6.54194842533	top5	-2.31282687187	1.53612983227	5.6870675087	pc_up	NA	NA	NA	NA	pd_up	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
DCTN4	6.48252564077	top5	2.44481182098	4.56070709229	6.71742916107	NA	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
DOT1L	5.829088444	top5	0.475419640541	2.95604324341	5.51332330704	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
DUSP12	5.28983446518	NA	2.39024662971	4.12600851059	5.85807991028	NA	NA	NA	NA	NA	NA	95	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
EBF1	5.73199778664	top5	-1.48632979393	1.39514446259	4.54140758514	pc_up	NA	NA	NA	NA	NA	97	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
ENTHD2	5.66647256884	NA	1.74991893768	3.7824473381	5.80195045471	NA	NA	NA	NA	NA	NA	97	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
FNDC5	6.91671548146	top5	-1.93235206604	1.02152824402	4.54250669479	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
GABRG2	6.5778819595	top5	-0.146622136235	0	0.244370207191	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
GNB2L1	12.9236561774	top5	8.81206607819	10.7477884293	12.6992731094	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
HLX	6.83958173729	top5	-0.170816302299	2.68710708618	5.70377635956	pc_up	NA	NA	NA	NA	pd_up	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
HSD17B2	5.47605759568	NA	-2.92742300034	0.516128122807	5.03030109406	NA	NA	NA	NA	NA	NA	93	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
ITFG2	5.98754825895	top5	2.67171478271	4.53328132629	6.39691162109	NA	NA	NA	NA	NA	NA	96	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
KANSL3	6.17352723812	top5	2.32190752029	4.08493947983	5.81626272202	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
KCNQ2	7.35455794681	top5	-0.848537743092	0.0977480858564	1.41422963142	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
KIAA0195	7.81775115034	top5	3.2426905632	5.32052850723	7.42500972748	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
KIAA1614	6.14098310488	top5	-1.42859196663	1.2570579052	4.21334266663	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
LMBR1L	6.98800293751	top5	2.41390991211	4.46470212936	6.56583881378	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
LRRC37B	5.28725064325	NA	0.933713972569	3.00898241997	5.18675231934	NA	NA	NA	NA	NA	NA	96	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
MAN2A2	7.12184429788	top5	1.75441205502	4.35791444778	6.8968963623	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
MARS	7.79025073884	top5	4.39384269714	6.12243938446	7.86489152908	NA	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
MAST1	8.00786824333	top5	-1.84544837475	0.85608112812	4.11489439011	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
MLST8	6.82858081028	top5	3.77081823349	5.35720014572	6.91169595718	NA	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
MSTO1	6.66576226651	top5	2.72094631195	4.68533849716	6.68611812592	NA	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NDRG1	13.4212246144	top5	2.22339391708	6.96334695816	12.0262813568	pc_up	NA	NA	NA	NA	pd_up	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NINL	5.54966917073	NA	-0.325687348843	2.6094481945	5.47097539902	NA	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NOMO3	7.39840167924	top5	0.899787962437	3.86097598076	6.78873205185	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NONO	9.60660878583	top5	6.17457342148	7.76085710526	9.37871837616	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NPRL3	6.23859581211	top5	2.91400456429	4.66900205612	6.40624094009	NA	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NRN1	8.31297368797	top5	-2.7390165329	2.36737465858	7.88484477997	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NUP188	6.46237957184	top5	2.06988954544	4.24186754227	6.37946271896	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
PAN2	7.64990281989	top5	1.59996044636	4.15704631805	6.75966930389	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
PBX3	6.84837255948	top5	0.398498058319	3.55519676208	6.83863019943	pc_up	NA	NA	NA	NA	pd_up	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
