parent_sample	sample_id	gene
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ABCA6
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ABCA8
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ABL1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ACTG1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ACVRL1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ADAM12
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ADGRA2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	AGAP2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	AKAP6
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ANGPTL2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ANTXR2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ARAP3
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ARHGAP17
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ARHGAP19
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	AVPR1A
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	C1orf198
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CALM1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CBFB
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CCDC9
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CDH19
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CDH24
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CFH
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CHD9
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CHN1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CHRNA1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CHSY1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CILP
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CLCN7
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CLEC11A
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CLEC14A
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CLMP
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CMTM3
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	COL22A1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	COL4A1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	COL4A2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	COL6A1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	COL6A2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CORO2B
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CPED1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CPNE2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CPXM2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CRABP1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CRLF1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CSNK1G2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CSPG4
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CYGB
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	CYTH3
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	DCHS1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	DENND2A
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	DLC1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	DOK1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	DPP9
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	DUSP6
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	EBF1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	EBF2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	EDN3
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	EGR2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	EGR3
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	EIF3CL
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ENG
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	EPS15
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ERF
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ETV1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	F2R
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	F2RL2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FAIM2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FAM101B
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FAM20C
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FAM220A
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FAM43A
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FAM43B
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FBN2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FGF18
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FHL3
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FKBP1A
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FLRT2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FNDC1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FRMD4A
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FRMD8
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FUT11
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	FZD1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	GAS7
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	GFRA1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	GIMAP6
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	GLCE
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	GNAI1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	GSN
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	HAAO
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	HIC1
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	HLX
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	IGF2
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	IGHV1-3
TH_Eval_018	TH_Eval_018_est28M_UMEND_seqtk_seed_8899	ILK
