gene	expression_in_log2tpm1	is_top_5	pc_low	pc_median	pc_high	pc_outlier	pc_is_filtered	pd_low	pd_median	pd_high	pd_outlier	pc_percentile	parent_sample	sample_id
ACTL6B	5.9825373144	top5	-0.146622136235	0	0.244370207191	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
ANO2	5.88996019966	top5	-0.872387647629	0.526184141636	2.12351441383	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
AP000783.1	5.53418613909	NA	-0.898795366287	0.400636225939	1.93433845043	NA	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
AP3B2	7.91091250795	top5	-2.67186665535	1.09767889977	5.28099250793	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
ATP1A3	8.78816365704	top5	-1.78345704079	0.546054959297	3.54374742508	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
BRSK2	6.41768376876	top5	-1.96857631207	0.495794504881	3.78539896011	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
C1orf61	6.52356195606	top5	-0.929386615753	0.275123685598	1.80963921547	pc_up	NA	NA	NA	NA	NA	92	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CA4	7.37147174072	top5	-2.4533624649	0.526184141636	4.42082977295	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CACNA1G	7.21713375765	top5	-0.652032196522	0.12445962429	1.20081102848	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CADM3	7.30478480664	top5	-2.65526247025	0.704955875874	4.86143398285	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CADPS	7.34527217109	top5	-2.15953826904	0.422329545021	3.96624970436	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CBLN1	5.7012718022	top5	-1.28123855591	0.275123685598	2.2866601944	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CELF3	7.33940465791	top5	-0.412685513496	0.0427840352058	0.687809228897	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CHGA	7.31768394155	top5	-2.03455162048	0.201756611466	3.50501036644	pc_up	NA	NA	NA	NA	NA	95	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CHGB	7.1849744938	top5	-2.77583861351	0.443720519543	4.88705921173	pc_up	NA	NA	NA	NA	NA	94	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CPLX3	7.98322165074	top5	-0.186689436436	0.0287099014968	0.311149060726	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CRMP1	7.30733744308	top5	-1.76027417183	2.33055686951	6.98001337051	pc_up	NA	NA	NA	NA	NA	96	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
CSPG5	6.04439411936	top5	-1.80185294151	0.831960737705	3.95308089256	pc_up	NA	NA	NA	NA	NA	94	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
DACH1	5.5625477242	NA	-2.6559150219	0.765625238419	4.99784374237	NA	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
DRAXIN	6.31469652566	top5	-0.613302886486	0.163629814982	1.2098762989	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
DUSP26	5.59275601044	NA	-1.31706178188	0.310455471277	2.45576453209	NA	NA	NA	NA	NA	NA	94	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
EBF1	5.73199778664	top5	-1.48632979393	1.39514446259	4.54140758514	pc_up	NA	NA	NA	NA	NA	97	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
EPHA8	6.55351410409	top5	-0.283746659756	0.0426443368196	0.472911119461	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
FAM57B	8.05663771511	top5	-1.19696497917	0.310455471277	2.32683396339	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
FNDC5	6.91671548146	top5	-1.93235206604	1.02152824402	4.54250669479	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
GABRB3	6.10726939359	top5	-3.28112149239	0.565691828728	5.69307756424	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
GABRG2	6.5778819595	top5	-0.146622136235	0	0.244370207191	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
GDAP1L1	6.65692533979	top5	-0.561719536781	0.11103130877	1.01275897026	pc_up	NA	NA	NA	NA	NA	97	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
GFAP	8.80693622212	top5	-0.95116686821	0.275123685598	1.84593975544	pc_up	NA	NA	NA	NA	NA	92	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
GNB3	8.58360933973	top5	-1.41383898258	0.937371790409	3.59551358223	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
GPM6A	7.6586399424	top5	-1.66130030155	0.411533921957	3.06528019905	pc_up	NA	NA	NA	NA	NA	93	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
GRAMD1B	6.02525032156	top5	-2.07077121735	1.32482933998	5.23556900024	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
HES6	8.76463941423	top5	-1.20167136192	3.14731168747	7.88225030899	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
HMP19	7.57190429861	top5	-0.340369403362	0.0705247372389	0.605942666531	pc_up	NA	NA	NA	NA	NA	96	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
HPCA	8.99768758149	top5	-1.12956619263	0.641648352146	2.6793627739	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
IGSF21	7.94210392394	top5	-2.12079167366	1.03571343422	4.66086483002	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
INSM1	6.73240488678	top5	-0.782838404179	0.0567235089839	1.34339094162	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
KCNQ2	7.35455794681	top5	-0.848537743092	0.0977480858564	1.41422963142	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
KIF21B	7.06458110919	top5	-1.56659126282	1.08413958549	4.09342432022	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
KIF5C	6.35966172233	top5	-3.14959263802	0.757125914097	5.98298406601	pc_up	NA	NA	NA	NA	NA	96	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
KLHDC8A	6.45499836344	top5	-1.77596402168	0.555914640427	3.53125905991	pc_up	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
LHX2	6.57848591347	top5	-1.92107462883	0.333533734083	3.46245241165	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
LINC00599	7.13924436335	top5	-0.0217464156449	0	0.0362440273166	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
LPPR4	5.95675366267	top5	-1.26009273529	0.546054959297	2.63817214966	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
MAB21L1	7.58826489431	top5	-0.481180369854	0.0842030718923	0.840627610683	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
MAST1	8.00786824333	top5	-1.84544837475	0.85608112812	4.11489439011	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
MCC	6.54797414832	top5	-1.46420383453	2.13100242615	5.74398469925	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
MYT1	5.95373084981	top5	-0.910262227058	0.176445946097	1.63119447231	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
MYT1L	6.06802583858	top5	-0.126304611564	0.0144976107404	0.210507676005	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NEUROD1	7.77958804586	top5	-0.0217464156449	0	0.0362440273166	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NEUROD2	6.0697451238	top5	-0.0641760528088	0.0144976107404	0.106960088015	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NFIB	7.71925190388	top5	-0.617382526398	3.39096784592	7.31962156296	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NNAT	9.05148086534	top5	-1.62850868702	0.748536229134	3.60360431671	pc_up	NA	NA	NA	NA	NA	97	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NPTX1	8.80944660095	top5	-1.04444694519	0.201756611466	1.89200747013	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NRN1	8.31297368797	top5	-2.7390165329	2.36737465858	7.88484477997	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
NRXN1	5.21490191016	NA	-0.782838404179	0.0977480858564	1.34339094162	NA	NA	NA	NA	NA	NA	96	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
OTX2	9.77295782794	top5	-0.0217464156449	0	0.0362440273166	pc_up	NA	NA	NA	NA	NA	99	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
PDZD4	5.50271248597	NA	-2.29383063316	0.985560894012	4.97786474228	NA	NA	NA	NA	NA	NA	92	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
PHYHIPL	6.22052343641	top5	-2.61936831474	0.378614395857	4.59015512466	pc_up	NA	NA	NA	NA	NA	94	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
PTPRN	6.71795054335	top5	-1.55954325199	0.433055132627	2.96625781059	pc_up	NA	NA	NA	NA	NA	96	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
RNF165	5.58586390346	NA	-1.94034588337	0.67814821004900006	3.73834824562	NA	NA	NA	NA	NA	NA	98	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
RNU11	8.03540396994	top5	-4.34514570236	0	7.24190998077	pc_up	NA	NA	NA	NA	NA	96	TH_Eval_016	TH_Eval_016_est50M_UMEND_seqtk_seed_3541
