MEND reads (million)	Outlier sensitivity	Outlier specificity	Correlation sensitivity	Correlation specificity	Estimated total reads (millions)
1	0.8396	0.9843	0.0172	1.0000	3
4	0.9076	0.9949	0.5690	1.0000	12
8	0.9224	0.9978	0.7759	1.0000	23.9
12	0.9252	0.9985	0.9483	1.0000	35.9
16	0.9569	0.9985	0.9483	1.0000	47.9
20	0.9171	0.9996	0.9655	1.0000	59.9
24	0.9332	0.9996	0.9655	1.0000	71.8
28	0.9402	0.9996	0.9655	1.0000	83.8
32	0.9467	1.0000	0.9655	1.0000	95.8
36	0.9358	1.0000	0.9828	1.0000	107.8
40	0.9278	1.0000	1.0000	1.0000	119.7
44	0.9412	1.0000	1.0000	1.0000	131.7
48	0.9457	1.0000	1.0000	0.9920	143.7
