Sample	Target UMEND Count (M)	UM Reads	Multimapped_read_count	UMND Reads	UMEND Reads	Total Reads	Seed
S1	1	 1,052,240	94390	 1,113,790	   969,044	 1,191,561	2771
S1	2	 2,228,072	200172	 2,309,220	 2,003,473	 2,523,012	3433
S1	4	 4,629,166	415885	 4,653,370	 4,022,360	 5,242,557	5411
S1	6	 7,097,345	637372	 6,969,384	 6,005,565	 8,037,440	9891
S1	8	 9,630,665	865823	 9,272,652	 7,973,218	10,907,904	2622
S1	10	12,233,133	1100497	11,577,196	 9,932,240	13,854,128	8652
S1	12	14,906,440	1335495	13,884,231	11,889,325	16,876,470	9311
S1	14	17,641,224	1581910	16,204,104	14,020,201	19,974,506	6289
S1	16	20,438,883	1835569	18,524,980	15,997,869	23,145,211	6933
S1	18	23,309,455	2090182	20,856,362	17,985,571	26,391,159	0675
S1	20	26,236,246	2354803	23,201,718	19,974,190	29,709,318	2226
S1	24	32,287,760	2894693	27,921,195	23,974,325	36,559,290	1120
S1	28	38,562,105	3460361	32,670,720	27,976,525	43,665,129	6451
S1	32	45,037,545	4045018	37,432,661	31,972,726	51,002,535	3920
S1	36	51,711,861	4642998	42,200,691	35,967,986	58,558,309	7519
S1	40	58,587,473	5259720	46,990,952	39,962,800	66,343,416	4956
S1	44	65,665,871	5895681	51,799,616	43,964,723	74,358,987	7750
S1	48	72,946,683	6548566	56,632,046	47,973,977	82,603,751	9314
S1	50	76,663,021	6882469	59,044,667	49,974,497	86,812,061	3424
S2	1	 1,003,073	100650	 1,057,352	   966,290	 1,143,477	7173
S2	2	 2,110,367	210714	 2,167,237	 1,988,059	 2,405,834	9099
S2	4	 4,381,313	438022	 4,345,714	 4,006,874	 4,993,927	2711
S2	6	 6,726,987	671668	 6,505,200	 6,015,536	 7,665,971	6178
S2	8	 9,141,880	914876	 8,656,976	 8,017,312	10,420,956	1490
S2	10	11,629,764	1164344	10,817,906	10,032,721	13,257,799	2684
S2	12	14,186,847	1421982	12,979,674	12,047,861	16,175,345	3931
S2	14	16,818,263	1683391	15,153,853	14,078,572	19,173,467	0461
S2	16	19,522,369	1955647	17,351,220	15,906,303	22,257,160	3498
S2	18	22,301,082	2231491	19,556,824	17,933,002	25,421,008	8197
S2	20	25,119,720	2515906	21,758,977	19,958,188	28,636,088	3732
S2	24	30,890,115	3093876	26,146,601	23,993,613	35,215,412	4424
S2	28	36,825,787	3685907	30,519,286	28,009,172	41,978,201	5510
S2	32	42,914,356	4297699	34,866,624	31,994,861	48,922,115	4233
S2	36	49,200,634	4926992	39,234,424	35,999,477	56,088,802	1259
S2	40	55,680,149	5571350	43,603,116	40,000,910	63,469,370	8596
S2	44	62,338,985	6239670	47,974,793	43,994,415	71,062,797	6556
S2	48	69,185,864	6926745	52,348,370	47,989,151	78,868,925	7023
S2	50	72,679,500	7276664	54,540,596	49,991,447	82,851,874	1004
S3	1	 1,160,331	85127	 1,232,802	   964,753	 1,333,110	7649
S3	2	 2,346,465	173052	 2,474,560	 1,930,942	 2,697,576	4988
S3	4	 4,758,016	350318	 4,954,216	 3,850,360	 5,468,018	8539
S3	6	 7,213,844	532425	 7,430,044	 5,750,926	 8,291,486	6518
S3	8	 9,719,655	715767	 9,912,884	 7,754,741	11,170,527	7537
S3	10	12,270,294	904731	12,401,410	 9,669,800	14,102,082	5962
S3	12	14,869,083	1096949	14,905,566	11,590,923	17,089,047	5537
S3	14	17,512,963	1291297	17,422,456	13,519,165	20,127,301	7669
S3	16	20,204,974	1491454	19,951,086	15,450,346	23,225,066	0662
S3	18	22,942,009	1694340	22,495,469	17,383,156	26,371,029	4253
S3	20	25,723,460	1897774	25,047,866	19,318,564	29,566,535	7248
S3	24	31,391,078	2316823	30,179,965	23,185,251	36,082,741	6740
S3	28	37,244,538	2748201	35,378,490	27,096,721	42,807,901	4433
S3	32	43,163,927	3185091	40,537,410	30,952,174	49,615,635	8154
S3	36	49,087,368	3622298	45,611,564	34,734,143	56,421,595	4791
S3	40	55,066,666	4062179	50,657,364	38,477,744	63,293,109	2115
S3	44	61,092,510	4509110	55,662,368	42,709,556	70,219,354	0849
S3	48	67,161,907	4955800	60,627,087	46,417,589	77,196,439	0629
S3	50	70,214,299	5181533	63,100,250	48,260,261	80,704,867	3541
S4	1	   956,393	43108	   953,749	   897,386	 1,045,377	5315
S4	2	 2,151,966	96817	 2,077,447	 1,975,967	 2,351,285	6443
S4	4	 4,614,915	208741	 4,261,807	 4,038,617	 5,043,401	4596
S4	6	 7,174,578	323631	 6,404,148	 6,049,137	 7,841,480	9172
S4	8	 9,831,947	444367	 8,538,135	 8,047,283	10,744,554	2594
S4	10	12,583,593	567284	10,661,674	10,026,257	13,750,790	4041
S4	12	15,424,734	698479	12,793,402	12,007,426	16,860,169	3263
S4	14	18,366,767	829944	14,930,142	13,990,353	20,073,226	6247
S4	16	21,407,087	966776	17,087,944	15,987,081	23,395,401	2214
S4	18	24,549,807	1109813	19,252,574	17,990,405	26,829,929	4820
S4	20	27,742,175	1253421	21,412,748	19,977,472	30,319,271	7447
S4	24	34,264,359	1546655	25,678,504	23,900,692	37,446,782	0734
S4	28	40,977,469	1852015	29,895,147	28,144,523	44,785,147	8899
S4	32	47,940,953	2165575	34,120,204	32,056,016	52,394,319	3452
S4	36	55,219,030	2494175	38,392,581	35,998,956	60,348,764	8038
S4	40	62,794,172	2836357	42,693,014	39,959,708	68,626,163	3320
S4	44	70,663,020	3190823	47,030,354	43,943,900	77,224,528	3778
S4	48	78,825,632	3560651	51,404,874	47,948,682	86,145,326	4374
S4	50	83,016,549	3749587	53,598,271	49,953,682	90,726,689	8611
S5	1	   995,289	85976	 1,044,608	   968,802	 1,095,917	8803
S5	2	 2,091,289	181369	 2,148,952	 1,990,826	 2,303,817	3878
S5	4	 4,330,885	373719	 4,315,960	 3,989,495	 4,768,333	7362
S5	6	 6,625,266	573543	 6,458,465	 6,045,386	 7,297,216	9315
S5	8	 8,981,987	775648	 8,594,362	 8,032,662	 9,889,727	4808
S5	10	11,391,933	985473	10,730,626	10,019,034	12,545,463	7610
S5	12	13,861,897	1197918	12,865,636	12,000,172	15,263,801	3737
S5	14	16,390,072	1413631	15,014,103	13,992,511	18,045,449	3616
S5	16	18,973,482	1639822	17,171,746	15,988,293	20,893,267	7924
S5	18	21,619,040	1868262	19,341,810	17,994,504	23,806,017	2214
S5	20	24,301,129	2102739	21,503,574	19,990,853	26,762,540	7125
S5	24	29,808,962	2575331	25,846,466	23,990,511	32,823,979	1819
S5	28	35,484,312	3066245	30,196,840	27,989,640	39,075,013	2542
S5	32	41,325,185	3572802	34,554,906	31,990,588	45,508,328	1872
S5	36	47,328,565	4087464	38,917,452	35,987,718	52,114,856	2104
